id,virus,host
945,SLEV,Rufous Hornero
946,Usutu virus,Dendrocopos major
947,Usutu virus,Pyrrhula pyrrhula
948,Usutu virus,great spotted woodpecker
949,WNV,human
950,CNS,Human
951,TBEV,Human
952,LIV,goat
953,LIV,pig
954,LIV,dog
955,LIV,hare
956,LIV,cattle
957,LIV,horse
958,West Nile virus,Motacilla flava
959,West Nile virus,Lanius collurio
960,West Nile virus,Phoenicurus phoenicurus
961,West Nile virus,osprey
962,West Nile virus,Ficedula hypoleuca
963,West Nile virus,Haliaeetus albicilla
964,West Nile virus,Erithacus rubecula
965,West Nile virus,Pandion haliaetus
966,West Nile virus,Ciconia ciconia
967,West Nile virus,Sylvia borin
968,WNV,Motacilla flava
969,WNV,Lanius collurio
970,WNV,Phoenicurus phoenicurus
971,WNV,osprey
972,WNV,Ficedula hypoleuca
973,WNV,Haliaeetus albicilla
974,WNV,Erithacus rubecula
975,WNV,Pandion haliaetus
976,WNV,Ciconia ciconia
977,WNV,Sylvia borin
978,WNV,Human
979,TBE,human
980,TBEV,human
981,TBEV,human
982,JEV,human
983,WNV,Oryctolagus cuniculus
984,WNV,rabbits
985,Powassan virus,monkeys
986,WNF,human
987,WNV,Magpie
988,WNV,Magpie
989,WNV,Magpie
990,WNV,Magpie
991,WNV,Magpie
992,WNV,Magpie
993,WNV,Magpie
994,WNV,Magpie
995,WNV,Magpie
996,WNV,Magpie
997,WNV,Magpie
998,WNV,Magpie
999,WNV,Magpie
1000,WNV,Magpie
1001,WNV,Magpie
1002,WNV,Magpie
1003,WNV,Magpie
1004,WNV,Magpie
1005,West Nile virus,Columba livia
1006,VEE,rabbit
1007,VEE,white  footed mouse
1008,VEE,Procyon lotor
1009,VEE,rabbit
1010,VEE,white  footed mouse
1011,VEE,Procyon lotor
1012,Langat,pig
1013,yellow fever,monkeys
1014,yellow fever,Alouatta sp
1015,HIT,human
1016,HIT,human
1017,MEAV,human
1018,MEAV,human
1019,West Nile virus,Ficedula hypoleuca
1020,West Nile virus,Cygnus olor
1021,West Nile virus,Lanius collurio
1022,West Nile virus,Pandion haliaetus
1023,West Nile virus,Milvus migrans
1024,West Nile virus,Phoenicurus phoenicurus
1025,West Nile virus,Accipiter gentilis
1026,West Nile virus,Ciconia ciconia
1027,Tembusu virus,chicken
1028,ILHV,Choloepus hoffmanni
1029,ILHV,Bradypus variegatus
1030,CGLV,Choloepus hoffmanni
1031,CGLV,Bradypus variegatus
1032, YFV ,human
1033, WNV ,human
1034,Japanese encephalitis virus,human
1035,yellow fever virus,human
1036,West Nile virus,human
1037,tick  borne encephalitis virus,human
1038, DENV ,human
1039,Omsk hemorrhagic fever virus,human
1040,dengue virus,human
1041,WNV,Lepus europaeus
1042,TBE,human
1043,TBE,human
1044,TBEV,human
1045,AVAV,pigeon
1046,PIV,pigeon
1047,Langat,dog
1048,Langat,dog
1049,RSSE,dog
1050,RSSE,dog
1051,SLEV,Picui Ground  Dove
1052,SLEV,Eared Dove
1053,SLEV,Great Kiskadee
